120 1572269637 2359266,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269638 2359266,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269639 2359266,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269640 2359266,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269641 2359266,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269652 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269653 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269654 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269655 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269656 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269672 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269673 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269674 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269675 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269676 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269677 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269678 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269679 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269680 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269681 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269757 2359201,200000 -1,000000 -101,000000 0,000000 0,000000
120 1572269758 2359201,200000 -1,000000 -101,000000 0,000000 0,000000
120 1572269759 2359201,200000 -1,000000 -101,000000 0,000000 0,000000
120 1572269760 2359201,200000 -1,000000 -101,000000 0,000000 0,000000
120 1572269761 2359201,200000 -1,000000 -101,000000 0,000000 0,000000
120 1572269782 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269783 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269784 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269785 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269786 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269792 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269793 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269794 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269795 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269796 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269797 122,400000 -1,000000 -101,000000 0,000000 0,000000
120 1572269798 122,400000 -1,000000 -101,000000 0,000000 0,000000
