264 1571391285 2,000000 -1,000000 2,000000 2,000000 0,800000
264 1571391284 2,000000 -1,000000 2,000000 2,000000 0,800000
264 1571391283 2,000000 -1,000000 2,000000 2,000000 0,800000
264 1571391282 1,000000 -1,000000 1,000000 1,000000 0,200000
264 1571391281 1,000000 -1,000000 1,000000 1,000000 0,200000
264 1571391280 1,000000 -1,000000 1,000000 1,000000 0,200000
264 1571391279 1,000000 -1,000000 1,000000 1,000000 0,200000
264 1571391278 1,000000 -1,000000 1,000000 1,000000 0,200000
264 1571391277 1,400000 -1,000000 1,400000 1,400000 0,392000
264 1571391276 1,400000 -1,000000 1,400000 1,400000 0,392000
264 1571391275 1,400000 -1,000000 1,400000 1,400000 0,392000
264 1571391274 1,400000 -1,000000 1,400000 1,400000 0,392000
264 1571391273 1,400000 -1,000000 1,400000 1,400000 0,392000
264 1571391272 1,400000 -1,000000 1,400000 1,400000 0,392000
264 1571391271 1,400000 -1,000000 1,400000 1,400000 0,392000
264 1571391270 1,400000 -1,000000 1,400000 1,400000 0,392000
264 1571391269 1,400000 -1,000000 1,400000 1,400000 0,392000
264 1571391268 1,400000 -1,000000 1,400000 1,400000 0,392000
261 1571391285 2,000000 -1,000000 2,000000 2,000000 0,800000
261 1571391284 2,000000 -1,000000 2,000000 2,000000 0,800000
261 1571391283 2,000000 -1,000000 2,000000 2,000000 0,800000
261 1571391282 1,000000 -1,000000 1,000000 1,000000 0,200000
261 1571391281 1,000000 -1,000000 1,000000 1,000000 0,200000
261 1571391280 1,000000 -1,000000 1,000000 1,000000 0,200000
261 1571391279 1,000000 -1,000000 1,000000 1,000000 0,200000
261 1571391278 1,000000 -1,000000 1,000000 1,000000 0,200000
261 1571391277 1,400000 -1,000000 1,400000 1,400000 0,392000
261 1571391276 1,400000 -1,000000 1,400000 1,400000 0,392000
261 1571391275 1,400000 -1,000000 1,400000 1,400000 0,392000
261 1571391274 1,400000 -1,000000 1,400000 1,400000 0,392000
261 1571391273 1,400000 -1,000000 1,400000 1,400000 0,392000
261 1571391272 1,400000 -1,000000 1,400000 1,400000 0,392000
261 1571391271 1,400000 -1,000000 1,400000 1,400000 0,392000
261 1571391270 1,400000 -1,000000 1,400000 1,400000 0,392000
261 1571391269 1,400000 -1,000000 1,400000 1,400000 0,392000
261 1571391268 1,400000 -1,000000 1,400000 1,400000 0,392000
