285 1571391285 9803567,333333 -1,000000 9803567,333333 9803567,333333 19221986491840,089844
285 1571391284 9803567,333333 -1,000000 9803567,333333 9803567,333333 19221986491840,089844
285 1571391283 9803567,333333 -1,000000 9803567,333333 9803567,333333 19221986491840,089844
285 1571391282 5714349,200000 -1,000000 5714349,200000 5714349,200000 6530757355908,128906
285 1571391281 5714349,200000 -1,000000 5714349,200000 5714349,200000 6530757355908,128906
285 1571391280 5714349,200000 -1,000000 5714349,200000 5714349,200000 6530757355908,128906
285 1571391279 5714349,200000 -1,000000 5714349,200000 5714349,200000 6530757355908,128906
285 1571391278 5714349,200000 -1,000000 5714349,200000 5714349,200000 6530757355908,128906
285 1571391277 8073992,400000 -1,000000 8073992,400000 8073992,400000 13037870655051,554688
285 1571391276 8073992,400000 -1,000000 8073992,400000 8073992,400000 13037870655051,554688
285 1571391275 8073992,400000 -1,000000 8073992,400000 8073992,400000 13037870655051,554688
285 1571391274 8073992,400000 -1,000000 8073992,400000 8073992,400000 13037870655051,554688
285 1571391273 8073992,400000 -1,000000 8073992,400000 8073992,400000 13037870655051,554688
