280 1571391285 6,000000 -1,000000 6,000000 6,000000 7,200000
280 1571391284 6,000000 -1,000000 6,000000 6,000000 7,200000
280 1571391283 6,000000 -1,000000 6,000000 6,000000 7,200000
280 1571391282 3,000000 -1,000000 3,000000 3,000000 1,800000
280 1571391281 3,000000 -1,000000 3,000000 3,000000 1,800000
280 1571391280 3,000000 -1,000000 3,000000 3,000000 1,800000
280 1571391279 3,000000 -1,000000 3,000000 3,000000 1,800000
280 1571391278 3,000000 -1,000000 3,000000 3,000000 1,800000
280 1571391277 4,200000 -1,000000 4,200000 4,200000 3,528000
280 1571391276 4,200000 -1,000000 4,200000 4,200000 3,528000
280 1571391275 4,200000 -1,000000 4,200000 4,200000 3,528000
280 1571391274 4,200000 -1,000000 4,200000 4,200000 3,528000
280 1571391273 4,200000 -1,000000 4,200000 4,200000 3,528000
280 1571391272 4,200000 -1,000000 4,200000 4,200000 3,528000
280 1571391271 4,200000 -1,000000 4,200000 4,200000 3,528000
280 1571391270 4,200000 -1,000000 4,200000 4,200000 3,528000
280 1571391269 4,200000 -1,000000 4,200000 4,200000 3,528000
280 1571391268 4,200000 -1,000000 4,200000 4,200000 3,528000
281 1571391285 10,000000 -1,000000 10,000000 10,000000 20,000000
281 1571391284 10,000000 -1,000000 10,000000 10,000000 20,000000
281 1571391283 10,000000 -1,000000 10,000000 10,000000 20,000000
281 1571391282 5,000000 -1,000000 5,000000 5,000000 5,000000
281 1571391281 5,000000 -1,000000 5,000000 5,000000 5,000000
281 1571391280 5,000000 -1,000000 5,000000 5,000000 5,000000
281 1571391279 5,000000 -1,000000 5,000000 5,000000 5,000000
281 1571391278 5,000000 -1,000000 5,000000 5,000000 5,000000
281 1571391277 7,000000 -1,000000 7,000000 7,000000 9,800000
281 1571391276 7,000000 -1,000000 7,000000 7,000000 9,800000
281 1571391275 7,000000 -1,000000 7,000000 7,000000 9,800000
281 1571391274 7,000000 -1,000000 7,000000 7,000000 9,800000
281 1571391273 7,000000 -1,000000 7,000000 7,000000 9,800000
281 1571391272 7,000000 -1,000000 7,000000 7,000000 9,800000
281 1571391271 7,000000 -1,000000 7,000000 7,000000 9,800000
281 1571391270 7,000000 -1,000000 7,000000 7,000000 9,800000
281 1571391269 7,000000 -1,000000 7,000000 7,000000 9,800000
281 1571391268 7,000000 -1,000000 7,000000 7,000000 9,800000
